hotel_id,name,date,allotment_total,allotment_sold,available,price_per_night,recommendation,suggested_price_eur,potential_revenue_eur
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1883.0,SAME PRICE,1883.0,9415.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2554.0,SAME PRICE,2554.0,12770.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2437.0,SAME PRICE,2437.0,12185.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2064.0,SAME PRICE,2064.0,10320.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1658.0,SAME PRICE,1658.0,8290.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1421.0,SAME PRICE,1421.0,7105.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2968.0,SAME PRICE,2968.0,14840.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2209.0,SAME PRICE,2209.0,11045.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1410.0,SAME PRICE,1410.0,7050.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2187.0,SAME PRICE,2187.0,10935.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1747.0,SAME PRICE,1747.0,8735.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1720.0,SAME PRICE,1720.0,8600.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2840.0,SAME PRICE,2840.0,14200.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2390.0,SAME PRICE,2390.0,11950.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2881.0,SAME PRICE,2881.0,14405.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1570.0,SAME PRICE,1570.0,7850.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1612.0,SAME PRICE,1612.0,8060.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1555.0,SAME PRICE,1555.0,7775.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2662.0,SAME PRICE,2662.0,13310.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1582.0,SAME PRICE,1582.0,7910.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2691.0,SAME PRICE,2691.0,13455.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2288.0,SAME PRICE,2288.0,11440.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1315.0,SAME PRICE,1315.0,6575.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1475.0,SAME PRICE,1475.0,7375.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1604.0,SAME PRICE,1604.0,8020.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2257.0,SAME PRICE,2257.0,11285.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1341.0,SAME PRICE,1341.0,6705.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2408.0,SAME PRICE,2408.0,12040.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2470.0,SAME PRICE,2470.0,12350.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1508.0,SAME PRICE,1508.0,7540.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2944.0,SAME PRICE,2944.0,14720.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1545.0,SAME PRICE,1545.0,7725.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2733.0,SAME PRICE,2733.0,13665.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1823.0,SAME PRICE,1823.0,9115.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1392.0,SAME PRICE,1392.0,6960.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2817.0,SAME PRICE,2817.0,14085.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2959.0,SAME PRICE,2959.0,14795.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2415.0,SAME PRICE,2415.0,12075.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2088.0,SAME PRICE,2088.0,10440.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1280.0,SAME PRICE,1280.0,6400.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1465.0,SAME PRICE,1465.0,7325.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2528.0,SAME PRICE,2528.0,12640.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1966.0,SAME PRICE,1966.0,9830.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2507.0,SAME PRICE,2507.0,12535.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2277.0,SAME PRICE,2277.0,11385.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1960.0,SAME PRICE,1960.0,9800.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1346.0,SAME PRICE,1346.0,6730.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2616.0,SAME PRICE,2616.0,13080.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2672.0,SAME PRICE,2672.0,13360.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1301.0,SAME PRICE,1301.0,6505.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1278.0,SAME PRICE,1278.0,6390.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1523.0,SAME PRICE,1523.0,7615.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1750.0,SAME PRICE,1750.0,8750.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2047.0,SAME PRICE,2047.0,10235.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1327.0,SAME PRICE,1327.0,6635.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2066.0,SAME PRICE,2066.0,10330.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1613.0,SAME PRICE,1613.0,8065.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,2426.0,SAME PRICE,2426.0,12130.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1938.0,SAME PRICE,1938.0,9690.0
fc55b3c4,Burj Al Arab Jumeirah,2026-01-20,14,9,5,1538.0,SAME PRICE,1538.0,7690.0
86a8b017,Hotel Cap Rocat,2026-01-20,30,17,13,473.0,SPECIAL OFFER -15%,402.05,5226.65
86a8b017,Hotel Cap Rocat,2026-01-20,30,17,13,858.0,SPECIAL OFFER -15%,729.3,9480.9
86a8b017,Hotel Cap Rocat,2026-01-20,30,17,13,408.0,SPECIAL OFFER -15%,346.8,4508.4
86a8b017,Hotel Cap Rocat,2026-01-20,30,17,13,564.0,SPECIAL OFFER -15%,479.4,6232.2
86a8b017,Hotel Cap Rocat,2026-01-20,30,17,13,873.0,SPECIAL OFFER -15%,742.05,9646.65
86a8b017,Hotel Cap Rocat,2026-01-20,30,17,13,676.0,SPECIAL OFFER -15%,574.6,7469.8
86a8b017,Hotel Cap Rocat,2026-01-20,30,17,13,404.0,SPECIAL OFFER -15%,343.4,4464.2
